"parameter_cd","group","parm_nm","epa_equivalence","result_statistical_basis","result_time_basis","result_weight_basis","result_particle_size_basis","result_sample_fraction","result_temperature_basis","CASRN","SRSName","parm_unit"
"39330","Organics, Pesticide","Aldrin, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","309-00-2","Aldrin","ug/l"
"39340","Organics, Pesticide","Lindane, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","58-89-9","Lindane","ug/l"
"39350","Organics, Pesticide","Chlordane (technical), water, unfiltered, recoverable, micrograms per liter","Not agree","","","","","Recoverable","","12789-03-6","Chlordane, technical","ug/l"
"39360","Organics, Pesticide","p,p'-DDD, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","72-54-8","p,p'-DDD","ug/l"
"39365","Organics, Pesticide","p,p'-DDE, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","72-55-9","p,p'-DDE","ug/l"
"39370","Organics, Pesticide","p,p'-DDT, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","50-29-3","p,p'-DDT","ug/l"
"39380","Organics, Pesticide","Dieldrin, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","60-57-1","Dieldrin","ug/l"
"39390","Organics, Pesticide","Endrin, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","72-20-8","Endrin","ug/l"
"39410","Organics, Pesticide","Heptachlor, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","76-44-8","Heptachlor","ug/l"
"39420","Organics, Pesticide","Heptachlor epoxide, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","1024-57-3","Heptachlor epoxide","ug/l"
"39530","Organics, Pesticide","Malathion, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","121-75-5","Malathion","ug/l"
"39540","Organics, Pesticide","Parathion, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","56-38-2","Parathion","ug/l"
"39570","Organics, Pesticide","Diazinon, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","333-41-5","Diazinon","ug/l"
"39600","Organics, Pesticide","Methyl parathion, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","298-00-0","Methyl parathion","ug/l"
"39730","Organics, Pesticide","2,4-D, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","94-75-7","2,4-D","ug/l"
"39740","Organics, Pesticide","2,4,5-T, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","93-76-5","2,4,5-T","ug/l"
"39760","Organics, Pesticide","Silvex, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","93-72-1","Silvex","ug/l"
"70337","Sediment","Suspended sediment, fall diameter (deionized water), percent smaller than 0.002 millimeters","Agree","","","","< 0.002 mm","Suspended",""," ","Suspended sediment concentration (SSC)","%"
"70338","Sediment","Suspended sediment, fall diameter (deionized water), percent smaller than 0.004 millimeters","Agree","","","","< 0.004 mm","Suspended",""," ","Suspended sediment concentration (SSC)","%"
"70340","Sediment","Suspended sediment, fall diameter (deionized water), percent smaller than 0.016 millimeters","Agree","","","","< 0.016 mm","Suspended",""," ","Suspended sediment concentration (SSC)","%"
"90861","Nutrient","Particulate nitrogen to particulate organic carbon mass ratio, number","Not checked","","","","","",""," "," ","None"
"00340","Physical","Chemical oxygen demand, high level, water, unfiltered, milligrams per liter","Not checked","","","","","Total",""," ","Chemical oxygen demand, (high level)","mg/l"
"00615","Nutrient","Nitrite, water, unfiltered, milligrams per liter as nitrogen","Agree","","","","","Total","","14797-65-0","Nitrite","mg/l as N"
"00620","Nutrient","Nitrate, water, unfiltered, milligrams per liter as nitrogen","Agree","","","","","Total","","14797-55-8","Nitrate","mg/l as N"
"00624","Nutrient","Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen","Agree","","","","","Suspended",""," ","Kjeldahl nitrogen","mg/l as N"
"00933","Inorganics, Major, Metals","Sodium plus potassium, water, filtered, milligrams per liter as sodium","Not checked","","","","","Dissolved",""," ","Sodium plus potassium","mg/l as Na"
"01001","Inorganics, Minor, Non-metals","Arsenic, suspended sediment, total, micrograms per liter","Not agree","","","","","Suspended","","7440-38-2","Arsenic","ug/l"
"01006","Inorganics, Minor, Metals","Barium, suspended sediment, recoverable, micrograms per liter","Not agree","","","","","Suspended","","7440-39-3","Barium","ug/l"
"01026","Inorganics, Minor, Metals","Cadmium, suspended sediment, recoverable, micrograms per liter","Not agree","","","","","Suspended","","7440-43-9","Cadmium","ug/l"
"01031","Inorganics, Minor, Metals","Chromium, suspended sediment, recoverable, micrograms per liter","Not agree","","","","","Suspended","","7440-47-3","Chromium","ug/l"
"01036","Inorganics, Minor, Metals","Cobalt, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7440-48-4","Cobalt","ug/l"
"01041","Inorganics, Minor, Metals","Copper, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7440-50-8","Copper","ug/l"
"01044","Inorganics, Minor, Metals","Iron, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7439-89-6","Iron","ug/l"
"01050","Inorganics, Minor, Metals","Lead, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7439-92-1","Lead","ug/l"
"01054","Inorganics, Minor, Metals","Manganese, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7439-96-5","Manganese","ug/l"
"01066","Inorganics, Minor, Metals","Nickel, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7440-02-0","Nickel","ug/l"
"01076","Inorganics, Minor, Metals","Silver, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7440-22-4","Silver","ug/l"
"01091","Inorganics, Minor, Metals","Zinc, suspended sediment, recoverable, micrograms per liter","Not checked","","","","","Suspended","","7440-66-6","Zinc","ug/l"
"01146","Inorganics, Minor, Non-metals","Selenium, suspended sediment, total, micrograms per liter","Not checked","","","","","Suspended","","7782-49-2","Selenium","ug/l"
"31673","Microbiological","Fecal streptococci, KF streptococcus MF method, water, colony forming units per 100 milliliters","Not checked","","","","","",""," ","Fecal Streptococcus","cfu/100ml"
"39036","Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate","Not checked","","","","","Dissolved",""," ","Alkalinity","mg/l CaCO3"
"60050","Biological","Phytoplankton, total, cells per milliliter","Not checked","","","","","Total",""," ","Phytoplankton",""
"62855","Nutrient","Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, analytically determined, milligrams per liter","USGS use and no use by EPA","","","","","Total",""," ","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","mg/l"
"71886","Nutrient","Phosphorus, water, unfiltered, milligrams per liter as PO4","Agree","","","","","Total","","7723-14-0","Phosphorus","mg/l PO4"
"71895","Inorganics, Minor, Metals","Mercury, suspended sediment, recoverable, micrograms per liter","Agree","","","","","Suspended","","7439-97-6","Mercury","ug/l"
"82068","Radiochemical","Potassium-40, water, filtered, picocuries per liter","Agree","","","","","Dissolved","","13966-00-2","Potassium-40","pCi/L"
"95100","Information","Conversion factor, number","USGS use and no use by EPA","","","","","",""," "," ","nu"
"95200","Microbiological","Total cell count, water, cells per milliliter","USGS use and no use by EPA","","","","","Total",""," "," ",""
"95902","Physical","Noncarbonate hardness, water, milligrams per liter as calcium carbonate","USGS use and no use by EPA","","","","","",""," ","Hardness, non-carbonate","mg/l CaCO3"
"96014","Population/Community","CHLAMYDOMONAS           (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96086","Population/Community","ELAKATOTHRIX            (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96202","Population/Community","ANKISTRODESMUS          (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96205","Population/Community","CHLORELLA               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96209","Population/Community","DICTYOSPHAERIUM         (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96218","Population/Community","OOCYSTIS                (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96243","Population/Community","SCENEDESMUS             (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96313","Population/Community","COSMARIUM               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96387","Population/Community","EUGLENA                 (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96392","Population/Community","TRACHELOMONAS           (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96605","Population/Community","DINOBRYON               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96608","Population/Community","OCHROMONAS              (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96706","Population/Community","CYCLOTELLA              (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96707","Population/Community","MELOSIRA                (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96708","Population/Community","STEPHANODISCUS          (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96756","Population/Community","MERIDION                (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96759","Population/Community","DIATOMA                 (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96763","Population/Community","ASTERIONELLA            (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96764","Population/Community","FRAGILARIA              (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96765","Population/Community","SYNEDRA                 (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96775","Population/Community","EUNOTIA                 (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96777","Population/Community","ACHNANTHES              (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96778","Population/Community","COCCONEIS               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96779","Population/Community","RHOICOSPHENIA           (4) USGS,ACL-75","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96787","Population/Community","DIPLONEIS               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96791","Population/Community","NAVICULA                (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96801","Population/Community","GOMPHONEIS              (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96802","Population/Community","GOMPHONEMA              (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96805","Population/Community","AMPHORA                 (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96806","Population/Community","CYMBELLA                (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96807","Population/Community","EPITHEMIA               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"96812","Population/Community","NITZSCHIA               (4) USGS,ACL-74","USGS use and no use by EPA","","","","","Total",""," "," ",""
"98082","Population/Community","ANACYSTIS               (4) MENEGH,1837 -98066","USGS use and no use by EPA","","","","","Total",""," "," ",""
"98131","Population/Community","LYNGBYA                 (4) AGARD' ,1824","USGS use and no use by EPA","","","","","Total",""," "," ",""
"98136","Population/Community","OSCILLATORIA            (4) VAUCHER,1803","USGS use and no use by EPA","","","","","Total",""," "," ",""
"98150","Population/Community","SCHIZOTHRIX             (4) KUETZ. ,1843","USGS use and no use by EPA","","","","","Total",""," "," ",""
"98194","Population/Community","RAPHIDIOPSIS            (4) USGS,ACL-75","USGS use and no use by EPA","","","","","Total",""," "," ",""
"00003","Information","Sampling depth, feet","Agree","","","","","",""," "," ","ft"
"72008","Physical","Depth of well, feet below land surface datum","Agree","","","","","",""," ","Depth","ft"
"72005","Information","Sample source, code","Agree","","","","","",""," "," ","code"
"00045","Physical","Precipitation, total, inches","Agree","","","","","Total",""," ","Precipitation","in"
"07000","Radiochemical","Tritium, water, unfiltered, picocuries per liter","Agree","","","","","Total","","10028-17-8","Tritium","pCi/L"
"34010","Organics, Other","Toluene, water, unfiltered, recoverable, micrograms per liter","Not checked","","","","","Recoverable","","108-88-3","Toluene","ug/l"
"34030","Organics, Other","Benzene, water, unfiltered, recoverable, micrograms per liter","Not checked","","","","","Recoverable","","71-43-2","Benzene","ug/l"
"34371","Organics, Other","Ethylbenzene, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","100-41-4","Ethylbenzene","ug/l"
"49892","Organics, Other","Gasoline range organic compounds, water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable",""," ","Gasoline range organics","ug/l"
"63675","Physical","Turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 90 +-30 degrees to incident light, nephelometric turbidity units (NTU)","USGS use and no use by EPA","","","","","Total",""," ","Turbidity","NTU"
"64174","Organics, Other","Diesel range organic compounds, water, unfiltered, recoverable, milligrams per liter","USGS use and no use by EPA","","","","","Recoverable",""," ","Diesel range organics","mg/l"
"78032","Organics, Other","Methyl tert-butyl ether, water, unfiltered, recoverable, micrograms per liter","Not checked","","","","","Recoverable","","1634-04-4","Methyl tert-butyl ether","ug/l"
"81551","Organics, Other","Xylene (all isomers), water, unfiltered, recoverable, micrograms per liter","Agree","","","","","Recoverable","","1330-20-7","Xylene","ug/l"
"82082","Stable Isotopes","delta hydrogen-2/hydrogen-1, water, unfiltered, per mil","Not checked","","","","","Total","","7782-39-0","Deuterium/Hydrogen ratio","per mil"
"82085","Stable Isotopes","delta oxygen-18/oxygen-16, water, unfiltered, per mil","Not checked","","","","","Total","","14797-71-8","Oxygen-18/Oxygen-16 ratio","per mil"
"00413","Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate","Agree","","","","","Total",""," ","Alkalinity","mg/l CaCO3"
"50286","Inorganics, Minor, Metals","Mercury, water, unfiltered, nanograms per liter","Agree","","","","","Total","","7439-97-6","Mercury","ng/l"
"81026","Physical","Water content of snow, inches","Agree","","","","","",""," ","Water content of snow","in"
"82300","Physical","Snow depth, inches","Agree","","","","","",""," ","Depth, snow cover","in"
"50624","Physical","Absorbance, 254 nm, water, filtered, absorbance units per centimeter","Not agree","","","","","Dissolved",""," ","UV 254 -- SDWA NPDWR","units/cm"
"63162","Organics, Other","Specific UV Absorbance, 254 nm, water, filtered, 1 cm path length, calculated, liter per (milligram of dissolved organic carbon * meter)","USGS use and no use by EPA","","","","","Dissolved",""," ","UV 254 -- SDWA NPDWR","L/mgDOC*m"
"82086","Stable Isotopes","delta sulfur-34/sulfur-32, water, unfiltered, per mil","Not checked","","","","","Total",""," ","Sulfur-34/Sulfur-32 ratio","per mil"
"00421","Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate","Not checked","","","","","Dissolved",""," ","Alkalinity","mg/l CaCO3"
"00951","Inorganics, Major, Non-metals","Fluoride, water, unfiltered, milligrams per liter","Agree","","","","","Total","","16984-48-8","Fluoride","mg/l"
"01047","Inorganics, Minor, Metals","Iron(II), water, filtered, micrograms per liter","Not checked","","","","","Dissolved","","15438-31-0","Iron, ion (Fe2+)","ug/l"
"01048","Inorganics, Minor, Metals","Iron(II) plus Iron(III), water, filtered, micrograms per liter","Agree","","","","","Dissolved",""," "," ","ug/l"
"71850","Nutrient","Nitrate, water, unfiltered, milligrams per liter as nitrate","Agree","","","","","Total","","14797-55-8","Nitrate","mg/l asNO3"
"71871","Inorganics, Minor, Non-metals","Bromine, water, unfiltered, milligrams per liter","Not checked","","","","","Total","","7726-95-6","Bromine","mg/l"
"00001","Information","Location in cross section, distance from right bank looking upstream, feet","Agree","","","","","",""," "," ","ft"
"72019","Physical","Depth to water level, feet below land surface","Agree","","","","","",""," ","Depth to water level below land surface","ft"
"63041","Stable Isotopes","delta oxygen-18/oxygen-16 of nitrate, water, filtered, per mil","USGS use and no use by EPA","","","","","Dissolved","","14797-71-8","Oxygen-18/Oxygen-16 ratio","per mil"
"82690","Stable Isotopes","delta nitrogen-15/nitrogen-14 of nitrate, water, filtered, per mil","Agree","","","","","Dissolved",""," ","Nitrogen-15/14 ratio","per mil"
"00047","Physical","Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury","Agree","","","","","Dissolved",""," ","Partial pressure of dissolved gases","mm/Hg"
"00597","Inorganics, Major, Non-metals","Dinitrogen, water, unfiltered, milligrams per liter","Not checked","","","","","Dissolved","","7727-37-9","Nitrogen","mg/l"
"07012","Radiochemical","Tritium in water molecules, tritium units","Agree","","","","","","","10028-17-8","Tritium","T.U."
"50281","Organics, Other","Trichlorofluoromethane, for age dating, water, unfiltered, recoverable, picograms per kilogram","Not checked","","","","","Recoverable","","75-69-4","CFC-11","pg/kg"
"50282","Organics, Other","Dichlorodifluoromethane, for age dating, water, unfiltered, recoverable, picograms per kilogram","Not checked","","","","","Recoverable","","75-71-8","CFC-12","pg/kg"
"50283","Organics, Other","1,1,2-Trichloro-1,2,2-trifluoroethane, for age dating, water, unfiltered, recoverable, picograms per kilogram","Not checked","","","","","Recoverable","","76-13-1","CFC-113","pg/kg"
"61040","Stable Isotopes","Helium-3/helium-4 ratio, water, unfiltered, ratio","Agree","","","","","Total","","14762-55-1"," ","None"
"61046","Inorganics, Minor, Non-metals","Neon, water, unfiltered, cubic centimeters per gram at standard temperature and pressure","Agree","","","","","Total","","7440-01-9","Neon","cm3/g STP"
"85561","Stable Isotopes","Helium-4, water, dissolved, cubic centimeters per gram at standard temperature and pressure","Not agree","","","","","Dissolved",""," "," ","cm3/g STP"
"85563","Inorganics, Minor, Non-metals","Argon, water, dissolved, cubic centimeters per gram at standard temperature and pressure","USGS use and no use by EPA","","","","","Dissolved","","7440-37-1","Argon","cm3/g STP"
"85565","Inorganics, Minor, Non-metals","Krypton, water, dissolved, cubic centimeters per gram at standard temperature and pressure","Not agree","","","","","Dissolved","","7439-90-9","Krypton","cm3/g STP"
"85567","Inorganics, Minor, Non-metals","Xenon, water, dissolved, cubic centimeters per gram at standard temperature and pressure","Not agree","","","","","Dissolved","","7440-63-3","Xenon","cm3/g STP"
"04064","Inorganics, Minor, Metals","Thallium, bed sediment smaller than 62.5 microns, dry sieved, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-28-0","Thallium","mg/kg"
"34790","Inorganics, Minor, Metals","Aluminum, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent","Not agree","","","Dry","< 62.5 microns","Bed Sediment","","7429-90-5","Aluminum","%"
"34795","Inorganics, Minor, Non-metals","Antimony, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-36-0","Antimony","mg/kg"
"34800","Inorganics, Minor, Non-metals","Arsenic, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-38-2","Arsenic","mg/kg"
"34805","Inorganics, Minor, Metals","Barium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-39-3","Barium","mg/kg"
"34810","Inorganics, Minor, Metals","Beryllium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-41-7","Beryllium","mg/kg"
"34816","Inorganics, Minor, Metals","Bismuth, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 177 microns","Bed Sediment","","7440-69-9","Bismuth","mg/kg"
"34825","Inorganics, Minor, Metals","Cadmium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-43-9","Cadmium","mg/kg"
"34830","Inorganics, Major, Metals","Calcium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-70-2","Calcium","%"
"34835","Inorganics, Minor, Metals","Cerium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-45-1","Cerium","mg/kg"
"34840","Inorganics, Minor, Metals","Chromium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-47-3","Chromium","mg/kg"
"34845","Inorganics, Minor, Metals","Cobalt, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-48-4","Cobalt","mg/kg"
"34850","Inorganics, Minor, Metals","Copper, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-50-8","Copper","mg/kg"
"34855","Inorganics, Minor, Metals","Europium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-53-1","Europium","mg/kg"
"34860","Inorganics, Minor, Metals","Gallium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-55-3","Gallium","mg/kg"
"34870","Inorganics, Minor, Metals","Gold, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-57-5","Gold","mg/kg"
"34875","Inorganics, Minor, Metals","Holmium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-60-0","Holmium","mg/kg"
"34880","Inorganics, Minor, Metals","Iron, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-89-6","Iron","%"
"34885","Inorganics, Minor, Metals","Lanthanum, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-91-0","Lanthanum","mg/kg"
"34890","Inorganics, Minor, Metals","Lead, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-92-1","Lead","mg/kg"
"34895","Inorganics, Minor, Metals","Lithium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-93-2","Lithium","mg/kg"
"34900","Inorganics, Major, Metals","Magnesium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-95-4","Magnesium","%"
"34905","Inorganics, Minor, Metals","Manganese, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-96-5","Manganese","mg/kg"
"34910","Inorganics, Minor, Metals","Mercury, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-97-6","Mercury","mg/kg"
"34915","Inorganics, Minor, Metals","Molybdenum, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7439-98-7","Molybdenum","mg/kg"
"34920","Inorganics, Minor, Metals","Neodymium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-00-8","Neodymium","mg/kg"
"34925","Inorganics, Minor, Metals","Nickel, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-02-0","Nickel","mg/kg"
"34930","Inorganics, Minor, Metals","Niobium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-03-1","Niobium","mg/kg"
"34935","Nutrient","Phosphorus, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7723-14-0","Phosphorus","%"
"34940","Inorganics, Major, Metals","Potassium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-09-7","Potassium","%"
"34945","Inorganics, Minor, Metals","Scandium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram","Not checked","","","Dry","< 62.5 microns","Bed Sediment","","7440-20-2","Scandium","mg/kg"
